N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
3,word,linear,50,0.1,5808,0.6568758344459279,2955
3,word,linear,50,1.0,5006,0.6628838451268357,2852
3,word,linear,50,10.0,4905,0.6628838451268357,3831
3,word,linear,50,100.0,4932,0.6628838451268357,4203
3,word,linear,50,1000.0,4926,0.6628838451268357,7805
3,word,linear,50,10000.0,4926,0.6628838451268357,43805
3,word,rbf,50,0.1,7000,0.5453938584779706,3500
3,word,rbf,50,1.0,6134,0.650200267022697,3113
3,word,rbf,50,10.0,5122,0.6618825100133512,2855
3,word,rbf,50,100.0,4947,0.6625500667556742,4640
3,word,rbf,50,1000.0,4934,0.6628838451268357,4910
3,word,rbf,50,10000.0,4921,0.6628838451268357,6108
3,word,poly,50,0.1,7000,0.5086782376502003,3500
3,word,poly,50,1.0,7000,0.5086782376502003,3500
3,word,poly,50,10.0,7000,0.5086782376502003,3500
3,word,poly,50,100.0,6983,0.5093457943925234,3504
3,word,poly,50,1000.0,6751,0.5730974632843792,3439
3,word,poly,50,10000.0,5829,0.6488651535380507,3008
1,pos,linear,100,0.1,2710,0.8524699599465955,19671
1,pos,linear,100,1.0,2610,0.8548064085447263,210819
1,pos,linear,100,10.0,2595,0.8564753004005341,4131840
1,pos,linear,100,100.0,2588,0.8568090787716955,10000000
1,pos,linear,100,1000.0,2773,0.8554739652870494,10000000
1,pos,linear,100,10000.0,5656,0.5807743658210948,10000000
1,pos,rbf,100,0.1,3483,0.8361148197596796,2156
1,pos,rbf,100,1.0,2749,0.8674899866488651,3247
1,pos,rbf,100,10.0,2432,0.8701602136181575,14212
1,pos,rbf,100,100.0,2292,0.8504672897196262,83993
1,pos,rbf,100,1000.0,2132,0.8331108144192256,316455
1,pos,rbf,100,10000.0,1895,0.8177570093457944,966368
1,pos,poly,100,0.1,4273,0.770694259012016,13595
1,pos,poly,100,1.0,3648,0.8024032042723631,63847
1,pos,poly,100,10.0,3191,0.8334445927903872,535132
1,pos,poly,100,100.0,2701,0.8417890520694259,3378755
1,pos,poly,100,1000.0,2281,0.8377837116154874,10000000
1,pos,poly,100,10000.0,1910,0.8237650200267023,10000000
3,pos,linear,50,0.1,2654,0.8451268357810414,10891
3,pos,linear,50,1.0,2564,0.842456608811749,69769
3,pos,linear,50,10.0,2556,0.842456608811749,857924
3,pos,linear,50,100.0,2563,0.8421228304405874,10000000
3,pos,linear,50,1000.0,2632,0.8391188251001335,10000000
3,pos,linear,50,10000.0,5461,0.4766355140186916,10000000
3,pos,rbf,50,0.1,3865,0.8427903871829105,2241
3,pos,rbf,50,1.0,2866,0.8467957276368492,2759
3,pos,rbf,50,10.0,2662,0.8554739652870494,13465
3,pos,rbf,50,100.0,2566,0.8471295060080107,84819
3,pos,rbf,50,1000.0,2464,0.8281041388518025,468165
3,pos,rbf,50,10000.0,2270,0.8130841121495327,1120598
3,pos,poly,50,0.1,6901,0.5203604806408545,3553
3,pos,poly,50,1.0,6172,0.6435246995994659,3502
3,pos,poly,50,10.0,4579,0.7720293724966623,4419
3,pos,poly,50,100.0,3362,0.8261014686248331,18542
3,pos,poly,50,1000.0,2802,0.8307743658210948,57090
3,pos,poly,50,10000.0,2510,0.815086782376502,109196
2s,pos,linear,500,0.1,2130,0.897196261682243,12669
2s,pos,linear,500,1.0,1691,0.9072096128170895,194308
2s,pos,linear,500,10.0,1491,0.9032042723631508,2784657
2s,pos,linear,500,100.0,1416,0.9022029372496663,10000000
2s,pos,linear,500,1000.0,1534,0.9022029372496663,10000000
2s,pos,linear,500,10000.0,5691,0.7626835781041389,10000000
2s,pos,rbf,500,0.1,5297,0.8014018691588785,2793
2s,pos,rbf,500,1.0,3482,0.869826435246996,2159
2s,pos,rbf,500,10.0,2370,0.8921895861148198,4341
2s,pos,rbf,500,100.0,1854,0.9072096128170895,23793
2s,pos,rbf,500,1000.0,1722,0.9012016021361816,105239
2s,pos,rbf,500,10000.0,1670,0.8808411214953271,331826
2s,pos,poly,500,0.1,7000,0.5010013351134847,3500
2s,pos,poly,500,1.0,6991,0.5043391188251002,3544
2s,pos,poly,500,10.0,6720,0.5530707610146862,3537
2s,pos,poly,500,100.0,5842,0.654539385847797,4345
2s,pos,poly,500,1000.0,4558,0.7710280373831776,6818
2s,pos,poly,500,10000.0,3396,0.8461281708945261,12053
2s,word,linear,200,0.1,4491,0.7753671562082777,3551
2s,word,linear,200,1.0,3399,0.7893858477970628,17494
2s,word,linear,200,10.0,3159,0.7900534045393859,45789
2s,word,linear,200,100.0,3170,0.7913885180240321,306049
2s,word,linear,200,1000.0,3157,0.7900534045393859,3178936
2s,word,linear,200,10000.0,3162,0.7853805073431241,10000000
2s,word,rbf,200,0.1,6986,0.5320427236315087,3494
2s,word,rbf,200,1.0,5959,0.6885847797062751,3110
2s,word,rbf,200,10.0,4459,0.7777036048064085,4283
2s,word,rbf,200,100.0,3408,0.7890520694259012,20855
2s,word,rbf,200,1000.0,3190,0.7883845126835781,91414
2s,word,rbf,200,10000.0,3212,0.7840453938584779,445264
2s,word,poly,200,0.1,7000,0.5003337783711616,3500
2s,word,poly,200,1.0,7000,0.5003337783711616,3500
2s,word,poly,200,10.0,7000,0.5003337783711616,3500
2s,word,poly,200,100.0,7000,0.5003337783711616,3503
2s,word,poly,200,1000.0,6952,0.5096795727636849,3536
2s,word,poly,200,10000.0,6509,0.5957943925233645,4114
2s,pos,linear,50,0.1,2844,0.8441255006675568,7562
2s,pos,linear,50,1.0,2734,0.8431241655540721,117241
2s,pos,linear,50,10.0,2732,0.8441255006675568,1306660
2s,pos,linear,50,100.0,2741,0.8437917222963952,10000000
2s,pos,linear,50,1000.0,2901,0.842456608811749,10000000
2s,pos,linear,50,10000.0,6353,0.4362483311081442,10000000
2s,pos,rbf,50,0.1,3929,0.8317757009345794,2262
2s,pos,rbf,50,1.0,2967,0.8568090787716955,3062
2s,pos,rbf,50,10.0,2685,0.8588117489986649,14698
2s,pos,rbf,50,100.0,2624,0.8354472630173565,72935
2s,pos,rbf,50,1000.0,2423,0.8094125500667557,256908
2s,pos,rbf,50,10000.0,2154,0.7960614152202937,640512
2s,pos,poly,50,0.1,5924,0.644192256341789,4126
2s,pos,poly,50,1.0,4769,0.7409879839786382,6214
2s,pos,poly,50,10.0,3776,0.7987316421895861,22281
2s,pos,poly,50,100.0,3047,0.8160881174899867,79700
2s,pos,poly,50,1000.0,2519,0.8147530040053405,300663
2s,pos,poly,50,10000.0,2252,0.8054072096128171,576983
2,word,linear,500,0.1,1748,0.9205607476635514,6310
2,word,linear,500,1.0,1187,0.9335781041388518,54276
2,word,linear,500,10.0,1086,0.9322429906542056,362652
2,word,linear,500,100.0,1046,0.9315754339118825,4615709
2,word,linear,500,1000.0,1024,0.9279038718291055,10000000
2,word,linear,500,10000.0,1014,0.9228971962616822,10000000
2,word,rbf,500,0.1,7000,0.5430574098798397,3500
2,word,rbf,500,1.0,4708,0.8574766355140186,2599
2,word,rbf,500,10.0,2180,0.9122162883845126,3838
2,word,rbf,500,100.0,1352,0.9325767690253671,15474
2,word,rbf,500,1000.0,1096,0.9332443257676902,94628
2,word,rbf,500,10000.0,1152,0.9265687583444593,301490
2,word,poly,500,0.1,7000,0.5003337783711616,3500
2,word,poly,500,1.0,7000,0.5003337783711616,3500
2,word,poly,500,10.0,7000,0.5003337783711616,3500
