N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
2sp,word,poly,100,0.1,7000,0.5003337783711616,3500
2sp,word,poly,100,1.0,7000,0.5003337783711616,3500
2sp,word,poly,100,10.0,6840,0.5497329773030708,3470
2sp,word,poly,100,100.0,5946,0.654539385847797,3322
2sp,word,poly,100,1000.0,4720,0.7269692923898531,4581
2sp,word,poly,100,10000.0,3957,0.7283044058744993,22503
2sp,word,poly,100,100000.0,3704,0.7306408544726302,179389
2sp,word,poly,100,1000000.0,3664,0.7319759679572764,1037114
2sp,word,poly,500,0.1,7000,0.5003337783711616,3500
2sp,word,poly,500,1.0,7000,0.5003337783711616,3500
2sp,word,poly,500,10.0,7000,0.5003337783711616,3500
2sp,word,poly,500,100.0,6957,0.5183578104138852,3508
2sp,word,poly,500,1000.0,6249,0.6602136181575434,3562
2sp,word,poly,500,10000.0,4783,0.7860480640854473,4631
2sp,word,poly,500,100000.0,3468,0.8097463284379173,8391
2sp,word,poly,500,1000000.0,2787,0.8037383177570093,13422
3p,pos,poly,100,0.1,6911,0.5337116154873164,3461
3p,pos,poly,100,1.0,5654,0.7389853137516689,2987
3p,pos,poly,100,10.0,3619,0.8431241655540721,3140
3p,pos,poly,100,100.0,2641,0.8701602136181575,14289
3p,pos,poly,100,1000.0,2289,0.8574766355140186,40412
3p,pos,poly,100,10000.0,2084,0.8421228304405874,195668
3p,pos,poly,100,100000.0,1916,0.8287716955941254,322494
3p,pos,poly,100,1000000.0,1875,0.8234312416555407,410683
2p,word,poly,200,0.1,7000,0.5006675567423231,3500
2p,word,poly,200,1.0,7000,0.5006675567423231,3500
2p,word,poly,200,10.0,6954,0.530373831775701,3486
2p,word,poly,200,100.0,5174,0.8287716955941254,3001
2p,word,poly,200,1000.0,2562,0.8998664886515354,4495
2p,word,poly,200,10000.0,1705,0.9185580774365821,12099
2p,word,poly,200,100000.0,1472,0.9125500667556742,17170
2p,word,poly,200,1000000.0,1405,0.9082109479305741,47112
1p,pos,poly,500,0.1,3867,0.8240987983978638,3081
1p,pos,poly,500,1.0,3182,0.8531375166889186,11911
1p,pos,poly,500,10.0,2796,0.8654873164218959,205006
1p,pos,poly,500,100.0,2528,0.8654873164218959,2171953
1p,pos,poly,500,1000.0,2366,0.8591455273698264,10000000
1p,pos,poly,500,10000.0,2321,0.855807743658211,10000000
