N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
2sp,word,poly,100,100000.0,4712,0.7182910547396528,11327
2sp,word,poly,100,1000000.0,3918,0.7279706275033377,25416
2sp,word,poly,500,100000.0,6663,0.5854472630173565,4196
2sp,word,poly,500,1000000.0,5660,0.7032710280373832,5948
3p,pos,poly,100,100000.0,2346,0.8437917222963952,49686
3p,pos,poly,100,1000000.0,2154,0.8230974632843792,54066
2p,word,poly,200,100000.0,3088,0.8885180240320427,5024
2p,word,poly,200,1000000.0,1907,0.9138851802403204,7759
1p,pos,poly,500,100000.0,1678,0.7790387182910548,10000000
1p,pos,poly,500,1000000.0,1750,0.7733644859813084,10000000
2p,word,poly,1000,100000.0,6938,0.5373831775700935,3720
2p,word,poly,1000,1000000.0,6094,0.7937249666221629,5040
3p,word,poly,50,100000.0,5047,0.6608811748998665,2579
3p,word,poly,50,1000000.0,4897,0.6628838451268357,3438
3p,word,poly,500,100000.0,6967,0.5153538050734312,3560
3p,word,poly,500,1000000.0,6553,0.5904539385847797,3913
1p,pos,poly,200,100000.0,1678,0.7790387182910548,10000000
1p,pos,poly,200,1000000.0,1750,0.7733644859813084,10000000
2p,pos,poly,500,100000.0,2387,0.8898531375166889,25513
2p,pos,poly,500,1000000.0,2174,0.8721628838451269,44095
2sp,pos,poly,50,100000.0,2046,0.7923898531375166,1737439
2sp,pos,poly,50,1000000.0,1949,0.7837116154873164,4239523
3p,pos,poly,1000,100000.0,4772,0.8167556742323098,9766
3p,pos,poly,1000,1000000.0,3688,0.8678237650200267,12123
3p,word,poly,10000,100000.0,7000,0.4993324432576769,3500
3p,word,poly,10000,1000000.0,7000,0.4993324432576769,3500
2sp,pos,poly,100,100000.0,2000,0.8401201602136181,254074
2sp,pos,poly,100,1000000.0,1850,0.8287716955941254,522528
1p,word,poly,1000,100000.0,3659,0.8534712950600801,5575
1p,word,poly,1000,1000000.0,2568,0.9038718291054739,8467
2sp,word,poly,10000,100000.0,7000,0.4993324432576769,3500
2sp,word,poly,10000,1000000.0,7000,0.4993324432576769,3500
1p,word,poly,50,100000.0,1554,0.8598130841121495,1282613
1p,word,poly,50,1000000.0,1466,0.839452603471295,7663090
2p,pos,poly,100,100000.0,1851,0.8554739652870494,173101
2p,pos,poly,100,1000000.0,1727,0.849799732977303,244407
3p,word,poly,100,100000.0,5521,0.6795727636849133,2945
3p,word,poly,100,1000000.0,4594,0.6905874499332443,2437
2p,pos,poly,50,100000.0,1832,0.821762349799733,1097549
2p,pos,poly,50,1000000.0,1760,0.812082777036048,1206122
2sp,word,poly,1000,100000.0,6968,0.5130173564753004,3631
2sp,word,poly,1000,1000000.0,6637,0.602803738317757,4708
2sp,pos,poly,200,100000.0,2136,0.8588117489986649,59483
2sp,pos,poly,200,1000000.0,2017,0.855807743658211,170798
3p,pos,poly,50,100000.0,2286,0.8044058744993324,194681
3p,pos,poly,50,1000000.0,2231,0.8027369826435247,254969
3p,word,poly,1000,100000.0,7000,0.5033377837116155,3500
3p,word,poly,1000,1000000.0,6954,0.5196929238985314,3680
3p,pos,poly,200,100000.0,2722,0.8658210947930574,20954
3p,pos,poly,200,1000000.0,2375,0.8561415220293725,19061
1p,word,poly,5000,100000.0,6585,0.5884512683578104,3746
1p,word,poly,5000,1000000.0,5427,0.7202937249666221,4770
2p,word,poly,5000,100000.0,7000,0.4993324432576769,3500
2p,word,poly,5000,1000000.0,6998,0.49966622162883845,3543
3p,word,poly,200,100000.0,6402,0.6194926568758344,3469
3p,word,poly,200,1000000.0,5233,0.7012683578104139,3148
2sp,word,poly,50,100000.0,4695,0.6682242990654206,50948
2sp,word,poly,50,1000000.0,4509,0.670894526034713,258871
1p,word,poly,100,100000.0,1553,0.8845126835781041,78661
1p,word,poly,100,1000000.0,1418,0.8738317757009346,211850
2p,word,poly,50,100000.0,1674,0.8888518024032043,21601
2p,word,poly,50,1000000.0,1596,0.8885180240320427,51855
2sp,pos,poly,500,100000.0,2612,0.8704939919893191,28991
2sp,pos,poly,500,1000000.0,2261,0.8661548731642189,42207
2p,pos,poly,200,100000.0,2032,0.8704939919893191,50873
2p,pos,poly,200,1000000.0,1905,0.8651535380507344,97080
