N-GRAM,TOT,GEN,INF
in_greek_mythology,260,0,260
one_of_the,182,34,148
also_known_as,173,0,173
is_the_capital,106,0,106
is_a_city,97,0,97
the_name_of,79,4,75
is_one_of,75,1,74
part_of_the,68,13,55
known_as_the,67,4,63
the_united_states,66,6,61
is_a_genus,63,0,63
a_genus_of,61,0,61
in_norse_mythology,61,0,61
a_type_of,58,0,58
as_well_as,58,22,37
in_the_united,54,11,43
the_republic_of,53,1,52
the_capital_and,51,0,51
a_city_in,51,0,51
is_the_name,50,0,50
and_atomic_number,47,0,47
element_with_symbol,46,0,46
a_group_of,45,5,40
the_son_of,45,1,44
chemical_element_with,45,0,45
of_flowering_plants,44,0,44
from_the_greek,44,0,44
largest_city_of,44,0,44
is_a_type,43,0,43
located_in_the,43,0,43
the_capital_of,43,0,43
is_a_chemical,42,0,42
a_family_of,41,1,40
is_a_fictional,41,0,41
a_chemical_element,40,0,40
referred_to_as,38,3,35
is_an_american,38,0,38
is_a_town,38,0,38
in_the_family,37,1,36
capital_and_largest,36,0,36
in_which_the,36,10,26
officially_the_republic,36,0,36
or_is_a,35,0,35
the_end_of,35,18,19
commonly_known_as,35,0,35
the_province_of,35,0,34
is_a_small,34,0,34
a_number_of,34,17,18
and_largest_city,34,0,34
is_a_large,33,1,32
IN_DT_NN,5614,2766,2975
DT_NN_IN,5058,1996,3144
DT_JJ_NN,4668,1750,3036
NN_IN_DT,4575,1817,2863
NN_IN_NN,3555,1220,2393
IN_DT_JJ,3041,1214,1910
JJ_NN_IN,2982,1045,2009
NN_VBZ_DT,2674,128,2553
VBZ_DT_NN,2340,225,2126
DT_NN_NN,2113,722,1438
NN_NN_NN,2047,571,1538
JJ_NN_NN,1976,561,1459
IN_JJ_NN,1856,530,1364
NN_CC_NN,1854,398,1495
NN_IN_JJ,1594,460,1159
NN_NN_IN,1503,494,1045
VBZ_DT_JJ,1495,131,1376
VBN_IN_DT,1386,520,894
JJ_JJ_NN,1255,315,956
IN_NN_NN,1246,386,878
NNS_IN_DT,1175,557,653
IN_NN_IN,1141,507,659
NN_NN_CC,1047,284,791
DT_NN_CC,1025,326,719
NN_VBN_IN,1022,181,856
JJ_NNS_IN,897,413,505
JJ_NN_CC,896,303,607
DT_NN_VBZ,893,247,655
IN_JJ_NNS,877,406,485
NN_IN_NNS,870,339,551
IN_NN_CC,868,285,596
DT_JJ_JJ,858,222,646
IN_DT_NNS,830,469,385
NNS_IN_NN,776,412,383
VBN_IN_NN,764,224,549
RB_VBN_IN,727,174,560
CC_JJ_NN,690,153,547
NN_JJ_NN,685,177,521
VBD_DT_NN,656,302,365
NN_NN_VBZ,640,145,507
DT_JJ_NNS,602,291,324
NN_CC_DT,595,213,398
NN_DT_NN,593,244,365
NN_CC_JJ,571,117,457
NN_WDT_VBZ,570,84,490
CC_NN_IN,547,121,439
NN_VBD_DT,545,156,394
DT_NNS_IN,529,325,222
NN_TO_VB,524,357,183
JJ_CC_JJ,520,166,364
