N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
2sp,word,poly,100,0.1,7000,0.5003337783711616,3500
2sp,word,poly,100,1.0,7000,0.5003337783711616,3500
2sp,word,poly,100,10.0,7000,0.5003337783711616,3500
2sp,word,poly,100,100.0,7000,0.5003337783711616,3500
2sp,word,poly,100,1000.0,6990,0.5023364485981309,3556
2sp,word,poly,100,10000.0,6896,0.5226969292389854,3785
2sp,word,poly,100,100000.0,6427,0.5984646194926568,4948
2sp,word,poly,100,1000000.0,5560,0.6618825100133512,7806
2sp,word,poly,500,0.1,7000,0.5006675567423231,3500
2sp,word,poly,500,1.0,7000,0.5006675567423231,3500
2sp,word,poly,500,10.0,7000,0.5006675567423231,3500
2sp,word,poly,500,100.0,7000,0.5006675567423231,3500
2sp,word,poly,500,1000.0,7000,0.5006675567423231,3500
2sp,word,poly,500,10000.0,7000,0.5006675567423231,3500
2sp,word,poly,500,100000.0,6999,0.5010013351134847,3526
2sp,word,poly,500,1000000.0,6978,0.5056742323097463,3683
3p,pos,poly,100,0.1,7000,0.49966622162883845,3516
3p,pos,poly,100,1.0,6981,0.5050066755674232,3623
3p,pos,poly,100,10.0,6798,0.5387182910547397,4082
3p,pos,poly,100,100.0,6046,0.6325100133511349,5700
3p,pos,poly,100,1000.0,4811,0.7453271028037384,9507
3p,pos,poly,100,10000.0,3657,0.8174232309746329,19591
3p,pos,poly,100,100000.0,2937,0.8391188251001335,30450
3p,pos,poly,100,1000000.0,2553,0.8411214953271028,37429
2p,word,poly,200,0.1,7000,0.5003337783711616,3500
2p,word,poly,200,1.0,7000,0.5003337783711616,3500
2p,word,poly,200,10.0,7000,0.5003337783711616,3500
2p,word,poly,200,100.0,7000,0.5003337783711616,3500
2p,word,poly,200,1000.0,7000,0.5003337783711616,3500
2p,word,poly,200,10000.0,6992,0.5033377837116155,3566
2p,word,poly,200,100000.0,6803,0.5490654205607477,4139
2p,word,poly,200,1000000.0,5894,0.7066088117489987,4814
1p,pos,poly,500,0.1,4604,0.7246328437917223,33005
1p,pos,poly,500,1.0,3954,0.7646862483311081,203746
1p,pos,poly,500,10.0,3334,0.7967289719626168,1259710
1p,pos,poly,500,100.0,2775,0.8154205607476636,5230042
1p,pos,poly,500,1000.0,2172,0.8251001335113485,10000000
1p,pos,poly,500,10000.0,1779,0.8110814419225634,10000000
